experiment,split,case,image,method,psnr,ssim,rmse
synthetic,eval15,motion,748,gaussian_filter,13.242257579539118,0.4461882199401659,0.21771438298451082
synthetic,eval15,motion,748,median_filter,13.233862109384125,0.44432933947753345,0.217924919649796
synthetic,eval15,motion,748,inverse_filter,12.988147255408851,0.16501804713217946,0.2241778177513477
synthetic,eval15,motion,748,wiener_filter,13.142812281978419,0.2852084645771937,0.22022133239483452
synthetic,eval15,motion,748,cls_filter,12.81308274327104,0.21297182028180162,0.22874197303541488
synthetic,eval15,motion,748,improved_guided,24.68534171497734,0.6823776907158713,0.05830864030417794
synthetic,eval15,defocus,748,degraded_input,14.02164683944315,0.45006724865889863,0.19902959442992946
synthetic,eval15,defocus,748,mean_filter,14.055822262031331,0.49178836773762363,0.19824803296350865
synthetic,eval15,defocus,748,gaussian_filter,14.06130884947314,0.49059244468531565,0.19812284582067438
synthetic,eval15,defocus,748,median_filter,14.044435461118352,0.49241964505805935,0.19850809742489187
synthetic,eval15,defocus,748,inverse_filter,13.310925499508489,0.16990019391199518,0.21599998700583864
synthetic,eval15,defocus,748,wiener_filter,13.812652159057553,0.31720580768832435,0.20387660455007958
synthetic,eval15,defocus,748,cls_filter,13.708825284606966,0.24063609316711476,0.20632826952687394
synthetic,eval15,defocus,748,improved_guided,24.7622647349391,0.6500999737948003,0.057794533588358
synthetic,eval15,motion,778,degraded_input,13.351519963059523,0.30145585696825894,0.21499284256850376
synthetic,eval15,motion,778,mean_filter,13.309131372416187,0.3025574506265463,0.21604460781857054
synthetic,eval15,motion,778,gaussian_filter,13.326996759198916,0.30838489948247144,0.2156006977564052
synthetic,eval15,motion,778,median_filter,13.302672422368651,0.3012526986512533,0.21620532138323986
synthetic,eval15,motion,778,inverse_filter,12.991368165587822,0.14316581129355901,0.22409470332267667
synthetic,eval15,motion,778,wiener_filter,13.155234280408227,0.21102139161442376,0.21990661116765908
synthetic,eval15,motion,778,cls_filter,12.855466899532358,0.16450350792687415,0.2276285096898168
synthetic,eval15,motion,778,improved_guided,21.416130037192037,0.4679571014236818,0.08495589082422891
synthetic,eval15,defocus,778,degraded_input,14.09755763492017,0.3166172661724734,0.19729774350542864
synthetic,eval15,defocus,778,mean_filter,14.130609420236695,0.34214244108429365,0.19654840732570752
synthetic,eval15,defocus,778,gaussian_filter,14.137196369433745,0.34090285247197744,0.19639941123539534
synthetic,eval15,defocus,778,median_filter,14.124281427649631,0.34093823361163555,0.19669165229979033
synthetic,eval15,defocus,778,inverse_filter,13.227394207086542,0.15366983604640286,0.21808725673584123
synthetic,eval15,defocus,778,wiener_filter,13.838981619549354,0.24495048890502638,0.20325953093802251
synthetic,eval15,defocus,778,cls_filter,13.568818422416044,0.18461865494137886,0.20968099986504476
synthetic,eval15,defocus,778,improved_guided,21.620548769536025,0.46185673334600824,0.08297983396740881
synthetic,eval15,motion,780,degraded_input,14.59948327728161,0.4304062057402454,0.1862197915338153
synthetic,eval15,motion,780,mean_filter,14.602852741696246,0.4693983567352234,0.18614756643089658
synthetic,eval15,motion,780,gaussian_filter,14.60759334606829,0.4697698735250569,0.18604599811325448
synthetic,eval15,motion,780,median_filter,14.598767104514149,0.4785125497628018,0.18623514644244576
synthetic,eval15,motion,780,inverse_filter,14.233865177279839,0.15339544303503003,0.19422572047918207
synthetic,eval15,motion,780,wiener_filter,14.455478407310164,0.278025620924369,0.18933289678619228
synthetic,eval15,motion,780,cls_filter,13.175146607827346,0.15777967051860883,0.2194030545697786
synthetic,eval15,motion,780,improved_guided,20.93726288725332,0.5858575997379661,0.08977116383961377
synthetic,eval15,defocus,780,degraded_input,15.420436021098327,0.47836289179915675,0.16942527488847162
synthetic,eval15,defocus,780,mean_filter,15.472137933140061,0.5230600047481576,0.16841978295736845
synthetic,eval15,defocus,780,gaussian_filter,15.47965595200155,0.5213264773920262,0.16827407130926034
synthetic,eval15,defocus,780,median_filter,15.452299215701906,0.5329141096064364,0.1688048961981151
synthetic,eval15,defocus,780,inverse_filter,14.384920743924807,0.15361405975316467,0.19087715919025752
synthetic,eval15,defocus,780,wiener_filter,15.152432237423202,0.30502486066481893,0.17473438997280868
synthetic,eval15,defocus,780,cls_filter,14.798384337772406,0.20377782134395214,0.18200393726274275
synthetic,eval15,defocus,780,improved_guided,20.017002993496988,0.5724129762984204,0.09980443727675606
